reading_id,sensor_id,unit_id,refinery_id,sensor_type,measurement_unit,reading_timestamp,reading_value,reading_quality,is_anomaly,is_interpolated,event_time
5bf6919d-f417-430a-a0c9-855cd706aad4,SENS-000000,UNIT-00000,REF-000,Temperature,Fahrenheit,2024-05-01 00:00:00,420.86,GOOD,False,False,2024-05-01 00:00:00
cf2940c3-3bb1-4c0d-8f20-eae36dcd12d7,SENS-000001,UNIT-00001,REF-001,Pressure,PSI,2024-05-01 00:02:13,75.0,GOOD,True,False,2024-05-01 00:02:13
9ad588be-53b7-4ea2-86c7-3d84fb857947,SENS-000002,UNIT-00002,REF-002,Flow Rate,BPH,2024-05-01 00:04:27,5192.15,GOOD,False,False,2024-05-01 00:04:27
e6d8a28a-a9c2-4921-8d3f-c26974b90cbb,SENS-000003,UNIT-00003,REF-003,Level,Percent,2024-05-01 00:06:41,62.77,GOOD,False,False,2024-05-01 00:06:41
14d9fc5b-aeb6-4d75-9aec-d22b2e04e147,SENS-000004,UNIT-00004,REF-004,Vibration,mm/s,2024-05-01 00:08:55,3.25,UNCERTAIN,False,False,2024-05-01 00:08:55
90e09289-bd7a-468d-8b4d-9d357e6c6b2d,SENS-000005,UNIT-00005,REF-005,Temperature,Fahrenheit,2024-05-01 00:11:09,418.5,BAD,False,False,2024-05-01 00:11:09
15e21e10-65e6-4361-8fe8-9a58f0fcd59a,SENS-000006,UNIT-00006,REF-006,Pressure,PSI,2024-05-01 00:13:23,148.32,GOOD,False,False,2024-05-01 00:13:23
911c5a5e-b724-421c-8679-3dbc01b19f99,SENS-000007,UNIT-00007,REF-007,Flow Rate,BPH,2024-05-01 00:15:37,6500.0,GOOD,True,False,2024-05-01 00:15:37
c9ebed99-b2f6-4afb-86aa-a1c6039c3fa3,SENS-000008,UNIT-00008,REF-008,Level,Percent,2024-05-01 00:17:51,67.52,GOOD,False,False,2024-05-01 00:17:51
ae423d81-79da-43f9-b855-bf26b9a396bb,SENS-000009,UNIT-00009,REF-009,Vibration,mm/s,2024-05-01 00:20:05,5.22,GOOD,False,False,2024-05-01 00:20:05
1f7b051a-cda4-4113-b0b3-eb5a60b0242a,SENS-000010,UNIT-00010,REF-010,Temperature,Fahrenheit,2024-05-01 00:22:19,600.0,UNCERTAIN,True,False,2024-05-01 00:22:19
755593a1-30a5-4cca-98f0-b243414a27d1,SENS-000011,UNIT-00011,REF-011,Pressure,PSI,2024-05-01 00:24:33,150.06,BAD,False,False,2024-05-01 00:24:33
fe6695a9-ab95-45ee-b199-3ebfac1b2537,SENS-000012,UNIT-00012,REF-012,Flow Rate,BPH,2024-05-01 00:26:47,4631.57,GOOD,False,False,2024-05-01 00:26:47
2914b7bd-7caf-4456-9a60-90ae6872f031,SENS-000013,UNIT-00013,REF-013,Level,Percent,2024-05-01 00:29:00,101.0,GOOD,True,False,2024-05-01 00:29:00
97f14b36-7f99-4fcb-8c93-9caf7daba81d,SENS-000014,UNIT-00014,REF-014,Vibration,mm/s,2024-05-01 00:31:14,3.61,GOOD,False,False,2024-05-01 00:31:14
2260e77f-ea76-496a-9769-b02960e8f40d,SENS-000015,UNIT-00015,REF-015,Temperature,Fahrenheit,2024-05-01 00:33:28,430.95,GOOD,False,False,2024-05-01 00:33:28
3d6bce78-cfd7-4670-962f-9d7da3440088,SENS-000016,UNIT-00016,REF-016,Pressure,PSI,2024-05-01 00:35:42,152.9,UNCERTAIN,False,False,2024-05-01 00:35:42
c8169002-b2ac-4e5a-9d79-e7b2593ec054,SENS-000017,UNIT-00017,REF-017,Flow Rate,BPH,2024-05-01 00:37:56,5350.76,BAD,False,False,2024-05-01 00:37:56
3c5022fd-7588-4f45-8061-1cd6e861aadb,SENS-000018,UNIT-00018,REF-018,Level,Percent,2024-05-01 00:40:10,62.33,GOOD,False,False,2024-05-01 00:40:10
bff4d9e5-8904-45df-9801-e3ba32a1189f,SENS-000019,UNIT-00019,REF-019,Vibration,mm/s,2024-05-01 00:42:24,4.76,GOOD,False,False,2024-05-01 00:42:24
798b8f38-40f9-4280-83b9-0bd7004cbb38,SENS-000020,UNIT-00020,REF-020,Temperature,Fahrenheit,2024-05-01 00:44:38,600.0,GOOD,True,False,2024-05-01 00:44:38
44d32142-1329-4745-aae9-e87117c789c6,SENS-000021,UNIT-00021,REF-021,Pressure,PSI,2024-05-01 00:46:52,75.0,GOOD,True,False,2024-05-01 00:46:52
2a5d995f-5aec-4d15-b4b8-91cbdcf76e3e,SENS-000022,UNIT-00022,REF-022,Flow Rate,BPH,2024-05-01 00:49:06,4755.25,UNCERTAIN,False,False,2024-05-01 00:49:06
26e0a751-0c77-4124-ba6d-047b710a0291,SENS-000023,UNIT-00023,REF-023,Level,Percent,2024-05-01 00:51:20,29.0,BAD,True,False,2024-05-01 00:51:20
087f1475-30d0-4c27-a5e8-d3930c53ffec,SENS-000024,UNIT-00024,REF-024,Vibration,mm/s,2024-05-01 00:53:34,3.95,GOOD,False,False,2024-05-01 00:53:34
33f04074-7bc3-4c61-a69e-33613197669a,SENS-000025,UNIT-00025,REF-025,Temperature,Fahrenheit,2024-05-01 00:55:48,600.0,GOOD,True,False,2024-05-01 00:55:48
a73ad4e6-e19e-4b11-969a-af5713e43dc8,SENS-000026,UNIT-00026,REF-026,Pressure,PSI,2024-05-01 00:58:01,225.0,GOOD,True,False,2024-05-01 00:58:01
563daaf8-58c6-48d4-8967-2f05bda84f4f,SENS-000027,UNIT-00027,REF-027,Flow Rate,BPH,2024-05-01 01:00:15,3500.0,GOOD,True,False,2024-05-01 01:00:15
3d8812fe-a678-4505-b8a3-6f96af6d2bcc,SENS-000028,UNIT-00028,REF-028,Level,Percent,2024-05-01 01:02:29,61.23,UNCERTAIN,False,False,2024-05-01 01:02:29
2f6e8f48-2d4a-493e-88b5-8bb6ccf9e03b,SENS-000029,UNIT-00029,REF-029,Vibration,mm/s,2024-05-01 01:04:43,5.3,BAD,False,False,2024-05-01 01:04:43
04b167cc-c4b4-45a1-a6b3-a6367795dc49,SENS-000030,UNIT-00030,REF-030,Temperature,Fahrenheit,2024-05-01 01:06:57,300.0,GOOD,True,False,2024-05-01 01:06:57
245a2454-4301-4746-b0df-816dc5d6eb59,SENS-000031,UNIT-00031,REF-031,Pressure,PSI,2024-05-01 01:09:11,145.02,GOOD,False,False,2024-05-01 01:09:11
afc12237-5179-4b32-9afd-568fcb479a91,SENS-000032,UNIT-00032,REF-032,Flow Rate,BPH,2024-05-01 01:11:25,5169.25,GOOD,False,False,2024-05-01 01:11:25
d90e3877-86fa-44e7-bc33-b0cf3f175698,SENS-000033,UNIT-00033,REF-033,Level,Percent,2024-05-01 01:13:39,70.54,GOOD,False,False,2024-05-01 01:13:39
b62c2afb-6750-44d1-a4e8-78477d195856,SENS-000034,UNIT-00034,REF-034,Vibration,mm/s,2024-05-01 01:15:53,4.42,UNCERTAIN,False,False,2024-05-01 01:15:53
3944cb4c-571e-40b3-b577-b87570b8503d,SENS-000035,UNIT-00035,REF-035,Temperature,Fahrenheit,2024-05-01 01:18:07,464.01,BAD,False,False,2024-05-01 01:18:07
0819306b-189b-40d6-a613-960d4f4ffee3,SENS-000036,UNIT-00036,REF-036,Pressure,PSI,2024-05-01 01:20:21,75.0,GOOD,True,False,2024-05-01 01:20:21
67be9ea3-a6f0-41cb-a473-c2441453c4f5,SENS-000037,UNIT-00037,REF-037,Flow Rate,BPH,2024-05-01 01:22:35,4933.11,GOOD,False,False,2024-05-01 01:22:35
fa55628d-5b98-433a-8330-dda0b5b639e6,SENS-000038,UNIT-00038,REF-038,Level,Percent,2024-05-01 01:24:48,66.2,GOOD,False,False,2024-05-01 01:24:48
8202fcbe-5c19-4e97-84c0-72484af5d217,SENS-000039,UNIT-00039,REF-039,Vibration,mm/s,2024-05-01 01:27:02,-2.0,GOOD,True,False,2024-05-01 01:27:02
557bdf3b-8062-40f5-8bc6-9286d7e55350,SENS-000040,UNIT-00040,REF-040,Temperature,Fahrenheit,2024-05-01 01:29:16,460.7,UNCERTAIN,False,False,2024-05-01 01:29:16
7d9bd49b-3433-4234-8a27-79d99e2d357d,SENS-000041,UNIT-00041,REF-041,Pressure,PSI,2024-05-01 01:31:30,122.46,BAD,False,False,2024-05-01 01:31:30
f0c3d792-8482-4569-bad1-a185900cca92,SENS-000042,UNIT-00042,REF-042,Flow Rate,BPH,2024-05-01 01:33:44,4900.27,GOOD,False,False,2024-05-01 01:33:44
d6695a05-4e7f-41a1-8e6b-47c70a682050,SENS-000043,UNIT-00043,REF-043,Level,Percent,2024-05-01 01:35:58,101.0,GOOD,True,False,2024-05-01 01:35:58
1e08486d-8933-459c-9e39-9567eda65ce1,SENS-000044,UNIT-00044,REF-044,Vibration,mm/s,2024-05-01 01:38:12,3.65,GOOD,False,False,2024-05-01 01:38:12
483778cc-e98b-41b1-a2c2-438059ad218b,SENS-000045,UNIT-00045,REF-045,Temperature,Fahrenheit,2024-05-01 01:40:26,600.0,GOOD,True,False,2024-05-01 01:40:26
d6e4cd24-5f9a-4c69-8d73-1058504742e2,SENS-000046,UNIT-00046,REF-046,Pressure,PSI,2024-05-01 01:42:40,173.09,UNCERTAIN,False,False,2024-05-01 01:42:40
861bcbf4-2467-4c9d-955d-b4240f154a73,SENS-000047,UNIT-00047,REF-047,Flow Rate,BPH,2024-05-01 01:44:54,6500.0,BAD,True,False,2024-05-01 01:44:54
a6f6e82c-c9f9-440f-bf23-d9cafdea333e,SENS-000048,UNIT-00048,REF-048,Level,Percent,2024-05-01 01:47:08,101.0,GOOD,True,False,2024-05-01 01:47:08
7a7ea3b1-ccc0-4913-a072-c526af9f165e,SENS-000049,UNIT-00049,REF-049,Vibration,mm/s,2024-05-01 01:49:22,5.37,GOOD,False,False,2024-05-01 01:49:22
dd8cafe1-e1c9-4f11-a56d-d1cf26f4bae4,SENS-000050,UNIT-00050,REF-000,Temperature,Fahrenheit,2024-05-01 01:51:36,474.0,GOOD,False,False,2024-05-01 01:51:36
ebb4ad90-546a-4e6b-90c6-c31c56b50398,SENS-000051,UNIT-00051,REF-001,Pressure,PSI,2024-05-01 01:53:49,75.0,GOOD,True,False,2024-05-01 01:53:49
415fb639-4a96-449b-81ec-6777aa8e0b03,SENS-000052,UNIT-00052,REF-002,Flow Rate,BPH,2024-05-01 01:56:03,4658.05,UNCERTAIN,False,False,2024-05-01 01:56:03
44a71b89-8fe7-4950-92e3-da4cc0cf2d37,SENS-000053,UNIT-00053,REF-003,Level,Percent,2024-05-01 01:58:17,101.0,BAD,True,False,2024-05-01 01:58:17
21488ea5-89ed-4e4b-a4a2-605f58c90654,SENS-000054,UNIT-00054,REF-004,Vibration,mm/s,2024-05-01 02:00:31,5.63,GOOD,False,False,2024-05-01 02:00:31
26b6cdc9-ffe4-4748-9368-ddee4c9f4721,SENS-000055,UNIT-00055,REF-005,Temperature,Fahrenheit,2024-05-01 02:02:45,446.92,GOOD,False,False,2024-05-01 02:02:45
602eb141-e554-4d5e-9091-cada3214ba8e,SENS-000056,UNIT-00056,REF-006,Pressure,PSI,2024-05-01 02:04:59,151.83,GOOD,False,False,2024-05-01 02:04:59
0e72b0be-14c9-4da6-af08-926a681afbb8,SENS-000057,UNIT-00057,REF-007,Flow Rate,BPH,2024-05-01 02:07:13,4991.1,GOOD,False,False,2024-05-01 02:07:13
0e105723-d57b-46ba-8c88-ad6e9162984b,SENS-000058,UNIT-00058,REF-008,Level,Percent,2024-05-01 02:09:27,68.39,UNCERTAIN,False,False,2024-05-01 02:09:27
6e8f072a-3812-4d0f-8284-9341b3c79655,SENS-000059,UNIT-00059,REF-009,Vibration,mm/s,2024-05-01 02:11:41,5.45,BAD,False,False,2024-05-01 02:11:41
6fe58440-0b5f-4244-996e-5790a1e889dd,SENS-000060,UNIT-00060,REF-010,Temperature,Fahrenheit,2024-05-01 02:13:55,431.03,GOOD,False,False,2024-05-01 02:13:55
7c56a60f-95cd-4224-adad-24be1f6de135,SENS-000061,UNIT-00061,REF-011,Pressure,PSI,2024-05-01 02:16:09,151.97,GOOD,False,False,2024-05-01 02:16:09
7972e8cf-7888-4716-b839-c607103d2c70,SENS-000062,UNIT-00062,REF-012,Flow Rate,BPH,2024-05-01 02:18:23,5046.34,GOOD,False,False,2024-05-01 02:18:23
f0a5a4c0-2f2c-4c36-96c3-91bee669e428,SENS-000063,UNIT-00063,REF-013,Level,Percent,2024-05-01 02:20:36,29.0,GOOD,True,False,2024-05-01 02:20:36
a546929e-6056-4310-b9ee-0894b0ebc835,SENS-000064,UNIT-00064,REF-014,Vibration,mm/s,2024-05-01 02:22:50,10.0,UNCERTAIN,True,False,2024-05-01 02:22:50
a182edf2-fef8-4218-9943-a7f95c00e048,SENS-000065,UNIT-00065,REF-015,Temperature,Fahrenheit,2024-05-01 02:25:04,468.72,BAD,False,False,2024-05-01 02:25:04
9adaca6c-3dbd-4c0d-8796-40d1ce234e17,SENS-000066,UNIT-00066,REF-016,Pressure,PSI,2024-05-01 02:27:18,141.91,GOOD,False,False,2024-05-01 02:27:18
da3b27ad-aaf2-45aa-a407-93c2bbc3976e,SENS-000067,UNIT-00067,REF-017,Flow Rate,BPH,2024-05-01 02:29:32,4887.97,GOOD,False,False,2024-05-01 02:29:32
29aaca00-2e4d-4cb4-b665-9dda354d4e8c,SENS-000068,UNIT-00068,REF-018,Level,Percent,2024-05-01 02:31:46,65.91,GOOD,False,False,2024-05-01 02:31:46
b53cdb51-6bfe-4adb-923d-513b60df9615,SENS-000069,UNIT-00069,REF-019,Vibration,mm/s,2024-05-01 02:34:00,2.45,GOOD,False,False,2024-05-01 02:34:00
b20543a1-ff77-477f-96cf-c7f9ca1e3931,SENS-000070,UNIT-00070,REF-020,Temperature,Fahrenheit,2024-05-01 02:36:14,469.34,UNCERTAIN,False,False,2024-05-01 02:36:14
09728dcb-896d-4c38-87d2-fd4446f94175,SENS-000071,UNIT-00071,REF-021,Pressure,PSI,2024-05-01 02:38:28,162.92,BAD,False,False,2024-05-01 02:38:28
b88f494b-dffc-43dd-a80b-9da5f1b1c259,SENS-000072,UNIT-00072,REF-022,Flow Rate,BPH,2024-05-01 02:40:42,4916.09,GOOD,False,False,2024-05-01 02:40:42
fc1d325d-d604-4924-a783-b6feaf99d4da,SENS-000073,UNIT-00073,REF-023,Level,Percent,2024-05-01 02:42:56,67.59,GOOD,False,False,2024-05-01 02:42:56
7053d874-5ac2-41a7-9278-4f6b0acdcf89,SENS-000074,UNIT-00074,REF-024,Vibration,mm/s,2024-05-01 02:45:10,5.14,GOOD,False,False,2024-05-01 02:45:10
11e027da-1c51-44e0-85c2-62e977a64f32,SENS-000075,UNIT-00075,REF-025,Temperature,Fahrenheit,2024-05-01 02:47:24,443.81,GOOD,False,False,2024-05-01 02:47:24
a5d1f259-c76f-467a-95d2-c303afb8cb31,SENS-000076,UNIT-00076,REF-026,Pressure,PSI,2024-05-01 02:49:37,148.88,UNCERTAIN,False,False,2024-05-01 02:49:37
508df502-ec12-4e52-b4fc-7adfca7ee4e0,SENS-000077,UNIT-00077,REF-027,Flow Rate,BPH,2024-05-01 02:51:51,4954.3,BAD,False,False,2024-05-01 02:51:51
30cb8a9e-2f2c-4f36-8d22-9b4303c63222,SENS-000078,UNIT-00078,REF-028,Level,Percent,2024-05-01 02:54:05,65.48,GOOD,False,False,2024-05-01 02:54:05
d18628a9-6d2a-433a-9f5c-184d7dde086f,SENS-000079,UNIT-00079,REF-029,Vibration,mm/s,2024-05-01 02:56:19,4.09,GOOD,False,False,2024-05-01 02:56:19
9bc839aa-7ab0-4e16-9e53-185363e01e8a,SENS-000080,UNIT-00080,REF-030,Temperature,Fahrenheit,2024-05-01 02:58:33,464.48,GOOD,False,False,2024-05-01 02:58:33
